종목코드,종목명,시장,현재가,20일평균,상승률,거래량
001360,삼성제약,KOSPI,1755,1455,20.58,11806860
047310,파워로직스,KOSDAQ,4445,4110,8.14,171465
317400,자이에스앤디,KOSPI,4215,3832,9.98,100660
025950,동신건설,KOSDAQ,19320,16077,20.17,347180
039860,나노엔텍,KOSDAQ,4225,3222,31.11,25916417
011690,와이투솔루션,KOSPI,4350,3405,27.75,1947501
305090,마이크로디지탈,KOSDAQ,8410,7851,7.12,56605
037070,파세코,KOSDAQ,7690,7279,5.64,45668
331740,아우토크립트,KOSDAQ,15870,11891,33.46,932858
217730,강스템바이오텍,KOSDAQ,1600,1517,5.44,325204
080420,모다이노칩,KOSDAQ,1886,1721,9.54,307935
322180,LS티라유텍,KOSDAQ,7180,6709,7.02,225291
002990,금호건설,KOSPI,4035,3802,6.11,78733
099750,이지케어텍,KOSDAQ,22350,17719,26.14,56325
012610,경인양행,KOSPI,3665,3014,21.59,12030696
314130,지놈앤컴퍼니,KOSDAQ,4740,3673,29.05,1458105
101170,우림피티에스,KOSDAQ,10960,7971,37.49,1455972
443670,에스피소프트,KOSDAQ,5840,5464,6.88,135470
021080,에이티넘인베스트,KOSDAQ,3025,2794,8.26,261865
041920,메디아나,KOSDAQ,7880,6008,31.15,4599318
138080,오이솔루션,KOSDAQ,12760,12143,5.08,66220
489500,엘케이켐,KOSDAQ,22850,18718,22.08,106132
208370,셀바스헬스케어,KOSDAQ,5620,4580,22.7,3730576
363280,티와이홀딩스,KOSPI,2820,2658,6.06,36787
149950,아바텍,KOSDAQ,10350,9796,5.66,13086
246710,티앤알바이오팹,KOSDAQ,3080,1877,64.05,5950504
005800,신영와코루,KOSPI,15550,14712,5.69,61943
011280,태림포장,KOSPI,1960,1763,11.17,8436226
068240,다원시스,KOSDAQ,3595,3397,5.81,438715
056090,시지메드텍,KOSDAQ,1325,1072,23.55,5405587
084670,동양고속,KOSPI,46850,17550,166.95,3917126
388870,파로스아이바이오,KOSDAQ,10400,7929,31.16,1392740
418420,라온텍,KOSDAQ,4455,4224,5.47,190065
317830,에스피시스템스,KOSDAQ,12520,10184,22.93,1056585
126730,코칩,KOSDAQ,15460,13591,13.75,970714
010100,한국무브넥스,KOSPI,4380,3923,11.64,845285
219130,타이거일렉,KOSDAQ,20700,19023,8.82,65101
002220,한일철강,KOSPI,4890,4338,12.72,249115
365270,큐라클,KOSDAQ,6150,5401,13.86,275127
142210,유니트론텍,KOSDAQ,6170,5563,10.9,423311
002460,HS화성,KOSPI,12800,11988,6.77,17491
003060,에이프로젠바이오로직스,KOSPI,644,586,9.76,1541430
